speaker,season,episode,episode_code,episode_title,line_count,word_count
Lola,1,12,01x12,Sport Medicine,40,433
Foreman,1,12,01x12,Sport Medicine,38,371
Cuddy,1,12,01x12,Sport Medicine,28,304
Wilson,1,12,01x12,Sport Medicine,26,269
Warner,1,12,01x12,Sport Medicine,16,224
Bryan,1,12,01x12,Sport Medicine,8,40
Sharon,1,12,01x12,Sport Medicine,7,103
Carol,1,12,01x12,Sport Medicine,3,9
Dentist,1,12,01x12,Sport Medicine,2,14
Man,1,12,01x12,Sport Medicine,2,12
Nurse,1,12,01x12,Sport Medicine,2,8
Cameron's Voice,1,12,01x12,Sport Medicine,1,7
Student,1,12,01x12,Sport Medicine,1,38
Chase,1,13,01x13,Cursed,113,1210
House,1,13,01x13,Cursed,107,1674
Rowan,1,13,01x13,Cursed,37,255
Jeffery,1,13,01x13,Cursed,35,395
Gabe,1,13,01x13,Cursed,34,236
Cameron,1,13,01x13,Cursed,31,269
Foreman,1,13,01x13,Cursed,27,253
Sarah,1,13,01x13,Cursed,19,128
Cuddy,1,13,01x13,Cursed,18,170
Wilson,1,13,01x13,Cursed,15,193
Dave,1,13,01x13,Cursed,8,32
Other Kid,1,13,01x13,Cursed,7,34
Tommy,1,13,01x13,Cursed,6,105
Patient,1,13,01x13,Cursed,4,20
Blonde,1,13,01x13,Cursed,1,8
Both Kids,1,13,01x13,Cursed,1,1
Cabbie,1,13,01x13,Cursed,1,2
Diagnosis,1,13,01x13,Cursed,1,8
House,1,14,01x14,Control,111,1888
Carly,1,14,01x14,Control,42,525
Wilson,1,14,01x14,Control,35,454
Cuddy,1,14,01x14,Control,33,387
Cameron,1,14,01x14,Control,29,390
Chase,1,14,01x14,Control,23,268
Vogler,1,14,01x14,Control,23,586
Foreman,1,14,01x14,Control,19,215
Robin,1,14,01x14,Control,8,46
Jenny,1,14,01x14,Control,5,36
Ricky,1,14,01x14,Control,5,20
Simpson,1,14,01x14,Control,5,48
Boardmember,1,14,01x14,Control,4,46
Ben,1,14,01x14,Control,2,24
Surgeon,1,14,01x14,Control,2,12
Rick,1,14,01x14,Control,1,1
Tech,1,14,01x14,Control,1,4
House,1,15,01x15,Mob Rules,140,2053
Bill,1,15,01x15,Mob Rules,60,714
Chase,1,15,01x15,Mob Rules,51,572
Cameron,1,15,01x15,Mob Rules,32,241
Foreman,1,15,01x15,Mob Rules,32,329
Cuddy,1,15,01x15,Mob Rules,28,277
Vogler,1,15,01x15,Mob Rules,24,355
Joey,1,15,01x15,Mob Rules,19,150
Wilson,1,15,01x15,Mob Rules,17,184
Henry,1,15,01x15,Mob Rules,14,132
Everhardt,1,15,01x15,Mob Rules,12,96
Marshall,1,15,01x15,Mob Rules,5,31
Paramedic,1,15,01x15,Mob Rules,1,20
House,1,16,01x16,Heavy,125,1681
Foreman,1,16,01x16,Heavy,77,873
Cameron,1,16,01x16,Heavy,65,756
Chase,1,16,01x16,Heavy,52,523
Mom,1,16,01x16,Heavy,38,268
Jessica,1,16,01x16,Heavy,33,222
Vogler,1,16,01x16,Heavy,26,343
Wilson,1,16,01x16,Heavy,23,234
Lucille,1,16,01x16,Heavy,21,192
Cuddy,1,16,01x16,Heavy,15,153
Mr Hernandez,1,16,01x16,Heavy,13,142
Mr Conroy,1,16,01x16,Heavy,5,61
Ms Ayers,1,16,01x16,Heavy,5,43
Clementine,1,16,01x16,Heavy,4,30
Seth,1,16,01x16,Heavy,2,8
Cashier,1,16,01x16,Heavy,1,3
Mom's Voice,1,16,01x16,Heavy,1,11
Some Classmate,1,16,01x16,Heavy,1,4
House,1,17,01x17,Role Model,153,2403
Senator,1,17,01x17,Role Model,59,731
Foreman,1,17,01x17,Role Model,41,535
Cameron,1,17,01x17,Role Model,28,307
Cuddy,1,17,01x17,Role Model,23,196
Wilson,1,17,01x17,Role Model,21,299
Sarah,1,17,01x17,Role Model,19,215
Chase,1,17,01x17,Role Model,17,112
Vogler,1,17,01x17,Role Model,14,247
Union Guy,1,17,01x17,Role Model,6,89
Various Staffers,1,17,01x17,Role Model,2,14
Clinic Nurse,1,17,01x17,Role Model,1,9
Staffer,1,17,01x17,Role Model,1,29
House,1,18,01x18,Babies & Bathwater,117,1513
Foreman,1,18,01x18,Babies & Bathwater,66,644
Chase,1,18,01x18,Babies & Bathwater,49,491
Naomi,1,18,01x18,Babies & Bathwater,46,365
Sean,1,18,01x18,Babies & Bathwater,46,306
Cuddy,1,18,01x18,Babies & Bathwater,36,482
Vogler,1,18,01x18,Babies & Bathwater,33,549
Wilson,1,18,01x18,Babies & Bathwater,29,445
Officer,1,18,01x18,Babies & Bathwater,10,67
Rachel,1,18,01x18,Babies & Bathwater,9,55
Joel,1,18,01x18,Babies & Bathwater,8,78
Lim,1,18,01x18,Babies & Bathwater,8,30
Prather,1,18,01x18,Babies & Bathwater,4,24
Dr Simpson,1,18,01x18,Babies & Bathwater,3,30
Ms Friedman,1,18,01x18,Babies & Bathwater,3,26
Anesthesiologist,1,18,01x18,Babies & Bathwater,2,7
Patient,1,18,01x18,Babies & Bathwater,2,16
Female Doctor,1,18,01x18,Babies & Bathwater,1,8
Foreman's Voice,1,18,01x18,Babies & Bathwater,1,1
House,1,19,01x19,Kids,152,1950
Foreman,1,19,01x19,Kids,72,781
Chase,1,19,01x19,Kids,44,449
Wilson,1,19,01x19,Kids,34,350
Mary,1,19,01x19,Kids,31,268
Cameron,1,19,01x19,Kids,23,118
Cuddy,1,19,01x19,Kids,23,302
Coach,1,19,01x19,Kids,14,119
Brenda,1,19,01x19,Kids,7,53
Dr Gilmar,1,19,01x19,Kids,7,96
Dr Spain,1,19,01x19,Kids,7,57
Mr Carroll,1,19,01x19,Kids,6,29
Mrs Carroll,1,19,01x19,Kids,4,37
Dr Marks,1,19,01x19,Kids,3,46
Patient,1,19,01x19,Kids,3,14
Nurse,1,19,01x19,Kids,2,8
A Coach,1,19,01x19,Kids,1,11
Announcer,1,19,01x19,Kids,1,10
Kid,1,19,01x19,Kids,1,1
Overhead Speaker Voice,1,19,01x19,Kids,1,42
Person,1,19,01x19,Kids,1,1
House,1,20,01x20,Love Hurts,134,2151
Cameron,1,20,01x20,Love Hurts,55,555
Foreman,1,20,01x20,Love Hurts,55,555
Chase,1,20,01x20,Love Hurts,52,550
Harvey,1,20,01x20,Love Hurts,30,251
Wilson,1,20,01x20,Love Hurts,27,338
Annette,1,20,01x20,Love Hurts,17,222
Ramona,1,20,01x20,Love Hurts,17,189
Myron,1,20,01x20,Love Hurts,16,133
Lawyer,1,20,01x20,Love Hurts,11,106
Cuddy,1,20,01x20,Love Hurts,10,112
Some Guy,1,20,01x20,Love Hurts,7,40
Mrs Park,1,20,01x20,Love Hurts,3,21
Brenda,1,20,01x20,Love Hurts,2,16
Pharmacist,1,20,01x20,Love Hurts,2,12
Mr Park,1,20,01x20,Love Hurts,1,10
Surgeon,1,20,01x20,Love Hurts,1,13
Wilson & Some Guy,1,20,01x20,Love Hurts,1,11
House,1,21,01x21,Three Stories,173,2713
Caring,1,21,01x21,Three Stories,43,305
Stacy,1,21,01x21,Three Stories,37,458
Cuddy,1,21,01x21,Three Stories,31,340
Rebellious,1,21,01x21,Three Stories,28,232
Cameron,1,21,01x21,Three Stories,25,303
Keen,1,21,01x21,Three Stories,21,225
Foreman,1,21,01x21,Three Stories,18,236
Chase,1,21,01x21,Three Stories,12,85
Farmer,1,21,01x21,Three Stories,10,76
Late 30s Man,1,21,01x21,Three Stories,7,42
Nurse,1,21,01x21,Three Stories,7,26
Wilson,1,21,01x21,Three Stories,5,93
Volleyball Player,1,21,01x21,Three Stories,3,15
Carmen,1,21,01x21,Three Stories,2,13
A Voice,1,21,01x21,Three Stories,1,1
Brenda,1,21,01x21,Three Stories,1,6
New Jersey,1,21,01x21,Three Stories,1,23
Someone,1,21,01x21,Three Stories,1,4
Volleyball Player's Mother,1,21,01x21,Three Stories,1,3
House,1,22,01x22,Honeymoon,145,2147
Stacy,1,22,01x22,Honeymoon,90,969
Cameron,1,22,01x22,Honeymoon,42,453
Mark,1,22,01x22,Honeymoon,42,427
Foreman,1,22,01x22,Honeymoon,37,400
Chase,1,22,01x22,Honeymoon,21,187
Wilson,1,22,01x22,Honeymoon,7,80
Cuddy,1,22,01x22,Honeymoon,3,48
Paramedic,1,22,01x22,Honeymoon,1,8
House,2,1,02x01,Acceptance,143,2424
Foreman,2,1,02x01,Acceptance,56,609
Cameron,2,1,02x01,Acceptance,46,509
Clarence,2,1,02x01,Acceptance,38,465
Chase,2,1,02x01,Acceptance,25,258
Stacy,2,1,02x01,Acceptance,22,224
Cuddy,2,1,02x01,Acceptance,21,216
Wilson,2,1,02x01,Acceptance,16,201
Cindy,2,1,02x01,Acceptance,9,110
Warden,2,1,02x01,Acceptance,8,151
Inmate,2,1,02x01,Acceptance,4,70
James,2,1,02x01,Acceptance,3,32
Lawyer,2,1,02x01,Acceptance,2,78
Man,2,1,02x01,Acceptance,2,12
Woman,2,1,02x01,Acceptance,2,13
Guard,2,1,02x01,Acceptance,1,7
House,2,2,02x02,Autopsy,152,1980
Wilson,2,2,02x02,Autopsy,73,787
Chase,2,2,02x02,Autopsy,45,425
Andie,2,2,02x02,Autopsy,36,274
Foreman,2,2,02x02,Autopsy,33,301
Cameron,2,2,02x02,Autopsy,17,121
Cuddy,2,2,02x02,Autopsy,11,71
Mom,2,2,02x02,Autopsy,11,55
Doctor 1,2,2,02x02,Autopsy,6,36
Nurse,2,2,02x02,Autopsy,4,21
Anesthesiologist 1,2,2,02x02,Autopsy,3,9
Patient,2,2,02x02,Autopsy,3,33
Doctor 2,2,2,02x02,Autopsy,2,14
Girl,2,2,02x02,Autopsy,2,6
Murphy,2,2,02x02,Autopsy,2,7
Neuro,2,2,02x02,Autopsy,2,23
Neuro 1,2,2,02x02,Autopsy,2,9
Salesman,2,2,02x02,Autopsy,2,28
Anesthesiologist 2,2,2,02x02,Autopsy,1,3
Neuro 2,2,2,02x02,Autopsy,1,4
House,2,3,02x03,Humpty Dumpty,147,2094
Cuddy,2,3,02x03,Humpty Dumpty,98,1004
Alfredo,2,3,02x03,Humpty Dumpty,41,304
Stacy,2,3,02x03,Humpty Dumpty,41,443
Cameron,2,3,02x03,Humpty Dumpty,31,302
Chase,2,3,02x03,Humpty Dumpty,29,256
Foreman,2,3,02x03,Humpty Dumpty,27,451
Wilson,2,3,02x03,Humpty Dumpty,18,141
Patient,2,3,02x03,Humpty Dumpty,12,105
Manny,2,3,02x03,Humpty Dumpty,10,56
Brother,2,3,02x03,Humpty Dumpty,3,20
Mother,2,3,02x03,Humpty Dumpty,1,1
House,2,4,02x04,TB Or Not TB,154,2102
Cameron,2,4,02x04,TB Or Not TB,87,773
Sebastian,2,4,02x04,TB Or Not TB,86,1384
Foreman,2,4,02x04,TB Or Not TB,48,481
Chase,2,4,02x04,TB Or Not TB,26,158
Cuddy,2,4,02x04,TB Or Not TB,24,219
Wilson,2,4,02x04,TB Or Not TB,20,161
Cecelia,2,4,02x04,TB Or Not TB,16,109
Mandy,2,4,02x04,TB Or Not TB,6,36
Jerry,2,4,02x04,TB Or Not TB,5,40
Villager,2,4,02x04,TB Or Not TB,2,9
Houes,2,4,02x04,TB Or Not TB,1,10
House,2,5,02x05,Daddy's Boy,140,1770
Cameron,2,5,02x05,Daddy's Boy,86,794
Foreman,2,5,02x05,Daddy's Boy,62,806
Ken,2,5,02x05,Daddy's Boy,56,574
Wilson,2,5,02x05,Daddy's Boy,37,382
Carnell,2,5,02x05,Daddy's Boy,32,295
Chase,2,5,02x05,Daddy's Boy,31,331
Cuddy,2,5,02x05,Daddy's Boy,24,195
Taddy,2,5,02x05,Daddy's Boy,19,172
Dad,2,5,02x05,Daddy's Boy,14,114
Mom,2,5,02x05,Daddy's Boy,12,72
Surgeon,2,5,02x05,Daddy's Boy,5,42
Older Guy,2,5,02x05,Daddy's Boy,3,40
Kid,2,5,02x05,Daddy's Boy,2,14
