season,episode,episode_code,episode_title,dialogue_lines,word_count,speaker_count
8,2,08x02,Transplant,386,4328,16
8,3,08x03,Charity Case,406,5143,11
8,4,08x04,Risky Business,365,5174,12
8,5,08x05,The Confession,334,4927,14
8,6,08x06,Parents,395,5648,26
8,7,08x07,Dead & Buried,382,4112,19
8,8,08x08,Perils of Paranoia,456,5113,22
8,9,08x09,Better Half,405,5095,17
8,10,08x10,Runaways,353,5018,17
8,11,08x11,Nobody's Fault,359,4511,16
8,12,08x12,Chase,386,4201,13
8,13,08x13,Man of the House,387,5503,16
8,14,08x14,Love Is Blind,373,4813,13
8,15,08x15,Blowing the Whistle,380,4993,16
8,16,08x16,Gut Check,361,4585,16
8,17,08x17,We Need The Eggs,386,4600,22
8,18,08x18,Body and Soul,367,4333,12
8,19,08x19,The C Word,317,3772,12
8,20,08x20,Post Mortem,338,4036,15
8,21,08x21,Holding On,323,3732,18
8,22,08x22,Everybody Dies,263,3679,19
