speaker,season,line_count,word_count,episode_count
Gabiella,6,1,14,1
Guard's Voice,6,1,5,1
Guy,6,1,7,1
Hose,6,1,26,1
Houes,6,1,5,1
House & Wilson,6,1,1,1
Houses,6,1,10,1
Leeanne,6,1,12,1
Man,6,1,7,1
Melodie,6,1,5,1
Moon Woman,6,1,8,1
Mr Klingman,6,1,3,1
Not-wilson,6,1,14,1
Note 1,6,1,65,1
Note 2,6,1,71,1
Operating Nurse,6,1,7,1
Paula,6,1,3,1
Police Officer,6,1,6,1
Porn Actress,6,1,6,1
Process Server,6,1,25,1
Radio Answer,6,1,13,1
Rescue Worker 1,6,1,15,1
Rescue Worker 2,6,1,4,1
Ronnnie,6,1,4,1
Sir Horace,6,1,1,1
Surgeon,6,1,4,1
Thirteen Enters,6,1,17,1
Topless Actress,6,1,2,1
Trio,6,1,13,1
Voice On Pa,6,1,5,1
Voice On Walkie Talkie,6,1,3,1
Woman On Tv,6,1,23,1
Young Woman,6,1,1,1
Yvette,6,1,13,1
House,7,2200,31891,22
Taub,7,805,8620,22
Foreman,7,683,8114,22
Masters,7,661,7435,13
Cuddy,7,660,7302,22
Chase,7,643,7028,22
Wilson,7,448,5172,21
Thirteen,7,274,3458,6
Alice,7,82,756,1
Arlene,7,82,1138,3
Colleen,7,59,520,1
Rachel,7,55,497,9
Danny,7,54,685,1
Kelly,7,53,577,1
Jack,7,50,512,2
Nadia,7,50,503,1
Zack,7,49,474,1
Abbey,7,48,433,1
Ramon,7,41,445,1
Billy,7,39,391,1
Dugan,7,37,602,1
Sam,7,37,474,3
Cyrus,7,36,450,1
Darrien,7,36,316,1
Afsoun,7,33,394,1
Broda,7,33,373,1
Margaret,7,33,370,1
Bert,7,31,402,1
Driscoll,7,31,443,1
Kendall,7,30,392,1
Lane,7,30,330,1
Foley,7,27,259,1
Cesar,7,25,164,1
Justine,7,25,262,1
Luca,7,25,218,1
Lee,7,24,276,1
Cheng,7,23,356,1
Della,7,23,202,1
Nurse,7,23,188,11
Diane,7,22,343,1
Eva,7,22,235,1
Richardson,7,22,212,1
Ryan,7,22,312,2
Alex,7,21,229,2
Elena,7,21,210,1
Lulu,7,20,121,1
Carnell,7,19,137,1
Anderson,7,18,230,1
Simpson,7,17,215,1
Julia,7,16,179,3
Niles,7,16,95,1
Corwin,7,15,161,1
Donovan,7,15,219,1
George,7,14,127,1
Landon,7,14,123,1
Phil,7,14,152,1
Bobby,7,13,138,1
Dominika,7,13,96,1
Jennifer,7,13,180,1
Julie,7,13,84,1
Felipe,7,12,116,1
Sidney,7,12,147,1
Sophie,7,12,76,1
Eve,7,11,51,1
Geerte,7,11,92,1
Kaufman,7,11,147,1
Hugo,7,10,146,1
Ruby,7,10,63,2
Stripper,7,10,76,1
Bartender,7,9,89,3
Christina,7,9,129,1
Daisy,7,9,59,1
Gabe,7,9,79,1
Jamie,7,9,215,1
Hourani,7,8,70,1
Malkin,7,8,120,1
Maurice,7,8,72,1
Paige,7,8,40,1
Roger,7,8,28,1
Wells,7,8,67,2
Woman,7,8,42,3
Claire,7,7,46,1
Cruz,7,7,61,1
Dryden,7,7,45,1
Marisa,7,7,100,1
Ms Fields,7,7,110,1
Riggin,7,7,79,1
Soltes,7,7,51,1
Timmy,7,7,77,1
Boy 1,7,6,25,1
Chris,7,6,21,1
Dr Taylor,7,6,39,1
Jerry,7,6,99,1
Kids,7,6,11,1
Ms Washburn,7,6,50,1
Chang,7,5,63,1
Chloe,7,5,70,1
Dr Cheng,7,5,70,1
Dr Riggin,7,5,69,1
Glenn,7,5,66,1
Hr Guy,7,5,75,1
Macdonald,7,5,31,1
Mr Jennings,7,5,42,1
Winn,7,5,97,1
Dina,7,4,30,2
Emily,7,4,35,1
Fellow Patron,7,4,29,1
Gibbs,7,4,25,1
Henry,7,4,63,1
Kay,7,4,42,1
Man,7,4,17,1
Officer Smith,7,4,45,1
Resident,7,4,18,1
Tony,7,4,27,1
Wife,7,4,23,1
Arlene's Voice,7,3,28,1
Cop,7,3,29,1
Father,7,3,12,1
Female Lawyer,7,3,21,1
Teacher,7,3,46,1
Timothy's Mom,7,3,27,1
Todd,7,3,43,1
Young Boy,7,3,14,1
Abbie,7,2,22,1
Boy 2,7,2,37,1
Captain,7,2,68,1
Car,7,2,16,1
Chase & Foreman,7,2,4,2
Chases,7,2,30,2
Computerized Car Voice,7,2,4,1
Cowboy,7,2,11,1
Cuddy's Voice,7,2,29,1
Danielle,7,2,17,1
Dr Frasier,7,2,5,1
Eve's Mom,7,2,31,1
Female Patron,7,2,15,1
Fun Stop Attendant,7,2,33,1
General,7,2,5,1
Guard,7,2,15,1
Lawyer,7,2,11,1
Master,7,2,32,2
Mother,7,2,5,1
Mrs Weston,7,2,5,1
Roid Rage,7,2,13,1
Sitcom Studio Audience,7,2,2,1
Students,7,2,3,1
Tv,7,2,7,1
Urologist,7,2,11,1
A,7,1,7,1
All,7,1,2,1
Anke,7,1,1,1
Announcer,7,1,6,1
B,7,1,6,1
Boby,7,1,11,1
Boy In Wheelchair,7,1,7,1
C,7,1,6,1
Calire,7,1,5,1
Charlie,7,1,11,1
Cudddy,7,1,7,1
D,7,1,5,1
Danielle Staub,7,1,23,1
Demonbilly,7,1,4,1
Dina Manzo,7,1,10,1
Doctor,7,1,21,1
E,7,1,6,1
F,7,1,6,1
Florist,7,1,5,1
Foreman Interrupting,7,1,3,1
Heard Over The Intercom,7,1,9,1
Hoffner,7,1,2,1
House To Chase,7,1,20,1
House With A Bemused Grin,7,1,6,1
Houses,7,1,7,1
Janet,7,1,8,1
Kelly To Billy,7,1,3,1
Loudspeaker,7,1,6,1
Luke,7,1,3,1
Male Announcer,7,1,63,1
Marcus,7,1,4,1
Masters Looking At The Tv,7,1,6,1
Ms Corwin,7,1,8,1
Nika,7,1,3,1
Nurse Hoffner,7,1,18,1
Officer Soltes,7,1,5,1
Patient,7,1,12,1
Patients,7,1,1,1
Phillip,7,1,11,1
Policeman,7,1,7,1
Receptionist,7,1,5,1
Saleswoman,7,1,5,1
Taub & Chase,7,1,3,1
Therapist,7,1,1,1
Voice On The Phone,7,1,4,1
Waiter,7,1,5,1
House,8,2031,31733,22
Adams,8,836,9287,21
Chase,8,783,8909,17
Park,8,677,7107,21
Taub,8,661,7771,17
Wilson,8,593,6913,20
Foreman,8,400,5202,18
Cofield,8,96,1509,1
Moira,8,71,666,1
Dominika,8,70,853,5
Thirteen,8,55,771,3
Natalie,8,50,505,1
Will,8,50,791,1
Henry,8,48,472,1
Joe,8,47,800,1
Emily,8,42,371,3
Benjamin,8,41,604,1
Elizabeth,8,41,587,1
Brant,8,38,572,1
Lida,8,38,349,1
Duncan,8,37,287,1
Iris,8,35,254,1
Tommy,8,35,489,1
Bob,8,31,511,1
Derrick,8,31,266,1
Hayes,8,31,427,1
Simon,8,31,302,1
Blythe,8,27,337,2
Barton,8,26,280,1
Bobby,8,26,433,2
Ainsley,8,24,274,1
Ellen,8,23,270,1
Melissa,8,23,241,1
Thomas,8,23,474,1
Nick,8,22,206,1
Treiber,8,22,296,1
Anita,8,21,247,2
Ben,8,21,302,1
Faye,8,21,230,1
Janey,8,21,265,1
Marlene,8,21,199,1
Molly,8,21,229,2
Callie,8,20,271,1
Sykes,8,20,192,1
Amber,8,19,290,1
Emory,8,19,168,1
Oliver,8,19,227,1
Mendelson,8,18,208,1
Mickey,8,18,177,1
Jane Doe,8,16,275,1
Monroe,8,15,126,1
Theresa,8,15,129,1
Vanessa,8,15,140,1
Andres,8,14,76,1
Denise,8,14,185,1
Lady,8,14,219,2
Olivia,8,14,227,1
Stacy,8,14,212,1
Weinmann,8,14,223,1
Frankie,8,13,145,1
George,8,13,151,1
Kutner,8,13,217,1
Bill,8,11,126,1
Cindy,8,11,164,3
Lue,8,11,50,1
Nurse,8,11,49,4
Cameron,8,10,194,1
Kayla,8,10,102,1
Man,8,10,87,3
Waitress,8,10,38,2
Dr Simpson,8,9,64,2
Mike,8,9,99,1
Regina,8,9,63,2
Stomper,8,9,66,1
Rachel,8,8,101,1
Woman,8,8,132,2
Xang,8,8,204,1
Alvarez,8,7,53,1
Ayres,8,7,61,1
Dr Kondo,8,7,118,1
Harris,8,7,33,1
Jen,8,7,23,1
Judge Foley,8,7,51,1
Mitchell,8,7,51,1
Monroe's Wife,8,7,80,1
Mr Weathers,8,7,63,1
Ron,8,7,61,1
Courtney,8,6,49,1
Dr Banerjee,8,6,42,1
Guard,8,6,29,2
John,8,6,42,1
Milton,8,6,61,1
Rollo,8,6,83,1
Gene,8,5,17,1
Grandpa,8,5,25,1
Guy,8,5,30,1
Ina,8,5,40,1
Joseph,8,5,25,1
Michael,8,5,56,1
Nolan,8,5,37,1
Porter,8,5,122,1
Ruby,8,5,93,1
Sheldon,8,5,36,1
Sister Joan,8,5,43,1
Amy,8,4,15,1
Chase's Sister,8,4,9,1
Female Case Worker,8,4,34,1
Micah,8,4,35,1
Ortho Doctor,8,4,49,1
Television Announcer,8,4,114,1
Wendy,8,4,13,1
Andrews,8,3,44,1
Asofa,8,3,5,1
Delaire,8,3,93,1
Gloria,8,3,24,1
Hseuh,8,3,6,1
Jordan,8,3,37,1
Matt,8,3,54,1
Mr Laffont,8,3,39,1
Mr Park,8,3,41,1
Officer,8,3,17,1
Roommate,8,3,23,1
William,8,3,6,1
Airport Loudspeaker,8,2,12,1
Asian Man,8,2,34,1
Brown,8,2,23,1
Carny,8,2,24,1
Chase & Adams,8,2,4,2
Dr Pinto,8,2,2,1
Emt 1,8,2,18,1
Evan,8,2,12,1
Father,8,2,11,2
Fawn,8,2,6,1
Hastings,8,2,20,1
Joni,8,2,13,1
Leisha,8,2,52,1
Linesman,8,2,21,1
Madison,8,2,15,1
Male Patient,8,2,31,1
Mel,8,2,17,1
Mp,8,2,11,1
Phil,8,2,14,1
Ray,8,2,11,1
Red Headed Boy,8,2,9,1
Sam,8,2,23,1
Sullivan,8,2,13,1
Surgeon,8,2,15,2
Szabo,8,2,9,1
Toros Fan,8,2,4,1
Uniformed Man,8,2,18,1
Weinman,8,2,28,1
Young Man,8,2,11,1
Aide,8,1,4,1
Aisnley,8,1,33,1
Announcer,8,1,3,1
Bartender,8,1,17,1
Betty,8,1,21,1
Birthday Girl's Father,8,1,14,1
Birthday Girl's Mother,8,1,14,1
Butterscotch,8,1,4,1
Caufield,8,1,2,1
Chase & Taub,8,1,1,1
Cheerleader On The Video,8,1,28,1
Clinic Patient Monroe,8,1,7,1
College Kid,8,1,17,1
Collins,8,1,118,1
Crowd,8,1,3,1
David,8,1,1,1
Debbie,8,1,3,1
Dixon,8,1,1,1
Domonika,8,1,4,1
Elderly Woman,8,1,17,1
Emt 2,8,1,2,1
Everyone,8,1,6,1
Fans,8,1,3,1
Fay,8,1,6,1
Forman,8,1,9,1
Frankel,8,1,9,1
Gps Voice,8,1,6,1
Guy In The Clinic,8,1,17,1
Hostetter,8,1,3,1
House & Natalie,8,1,3,1
Janitor,8,1,6,1
Lena,8,1,2,1
Man Holding Receiver,8,1,2,1
Man On Phone,8,1,9,1
Masters,8,1,7,1
Middle Aged Man,8,1,23,1
Nic,8,1,6,1
Note,8,1,19,1
Orderly,8,1,2,1
Ortho Doc,8,1,14,1
Pa Announcer,8,1,7,1
Parks,8,1,6,1
Red Headed Boy's Father,8,1,7,1
Sally,8,1,6,1
Spartans Fan,8,1,1,1
Taub & Adams,8,1,4,1
Taub & Park,8,1,2,1
Therapist,8,1,1,1
Trieber,8,1,4,1
Woman On Pa,8,1,8,1
Workman,8,1,20,1
Workman On The Floor,8,1,2,1
