speaker,season,line_count,word_count,episode_count
Teacher,2,14,98,1
Greta,2,13,176,1
Cop,2,12,118,1
George,2,12,67,1
Mother,2,12,131,3
Adam,2,11,53,1
Mrs Lambert,2,11,79,1
Alan,2,10,81,1
Leona,2,10,62,1
Manny,2,10,56,1
Medicaid Guy,2,10,89,1
Ayersman,2,9,109,1
Cindy,2,9,110,1
Doctor,2,8,98,5
Lady,2,8,57,1
Warden,2,8,151,1
Brenda,2,7,38,1
Grace,2,7,135,1
Kid 2,2,7,44,2
Vince,2,7,27,1
Doctor 1,2,6,36,1
Girl,2,6,26,3
Kid 1,2,6,25,1
Mandy,2,6,36,1
Security Guy,2,6,36,1
Surgeon,2,6,46,2
Dr Harper,2,5,44,1
Female Cop,2,5,27,1
Jerry,2,5,40,1
Mandarin Woman,2,5,35,1
Paramedic,2,5,71,3
Babyshoes,2,4,22,1
Dory,2,4,30,1
Dr Wells,2,4,32,1
Inmate,2,4,70,1
Lab Tech,2,4,31,1
Mike,2,4,23,1
Patrick,2,4,60,1
Race Announcer,2,4,92,1
Simpson,2,4,58,1
Social Worker,2,4,31,1
Son,2,4,8,1
Anesthesiologist,2,3,31,1
Anesthesiologist 1,2,3,9,1
Austin,2,3,34,1
Brother,2,3,20,1
Bus Stop Guy,2,3,19,1
James,2,3,32,1
Older Guy,2,3,40,1
Chuck,2,2,7,1
Commentator 1,2,2,12,1
Doctor 2,2,2,14,1
Dry Cleaner,2,2,18,1
Emt,2,2,23,1
Forman,2,2,18,2
Head Doc,2,2,178,1
Jesse Baker,2,2,22,1
Kid,2,2,14,1
Lawyer,2,2,78,1
Mopping Guy,2,2,3,1
Murphy,2,2,7,1
Neuro,2,2,23,1
Neuro 1,2,2,9,1
Nicky,2,2,8,1
Salesman,2,2,28,1
Villager,2,2,9,1
Anesthesiologist 2,2,1,3,1
Announcement,2,1,26,1
Announcer,2,1,11,1
Announcer In The Airport,2,1,11,1
Answering Machine,2,1,5,1
Cecile,2,1,3,1
Commentator 2,2,1,5,1
Cuddy's Voice,2,1,33,1
Drycleaner,2,1,1,1
Ellen,2,1,17,1
Foeman,2,1,7,1
Friend,2,1,16,1
Friends,2,1,2,1
Guard,2,1,7,1
Guy,2,1,4,1
Houes,2,1,10,1
House's Answering Machine,2,1,31,1
Ingrid,2,1,4,1
Jose,2,1,2,1
Kid's Mother,2,1,5,1
Magician Boy On Stage,2,1,59,1
Message,2,1,59,1
Model,2,1,3,1
Neuro 2,2,1,4,1
Nurses,2,1,2,1
Offstage Male,2,1,1,1
Over The Announcement System,2,1,8,1
Paula,2,1,17,1
Person,2,1,4,1
Phone,2,1,4,1
Scale,2,1,4,1
Stranger At The Door,2,1,2,1
Tax Accountant,2,1,1,1
Taxi Driver,2,1,1,1
Teller,2,1,4,1
Voice,2,1,15,1
Voice Replies,2,1,3,1
Wilson's Voice,2,1,19,1
Woman's Voice,2,1,15,1
House,3,3389,44662,24
Foreman,3,1345,14153,24
Cameron,3,1200,12021,24
Chase,3,949,10016,24
Wilson,3,805,8989,24
Cuddy,3,792,8222,24
Tritter,3,118,1859,6
Eve,3,98,600,1
Hannah,3,67,613,1
Gabe,3,66,932,1
Nate,3,64,574,1
Stevie,3,63,513,1
Emma,3,59,561,1
Lupe,3,57,698,1
Jack,3,50,500,1
Jeremy,3,48,454,1
Edie,3,47,428,1
Deran,3,45,481,1
Rob,3,45,379,1
Esteban,3,42,390,1
George,3,42,623,1
Dr Obyedkov,3,41,324,1
Robin,3,40,175,1
Enid,3,35,245,1
Arlene,3,34,243,1
Derek,3,34,223,1
Patient,3,34,229,5
Patrick,3,33,105,1
Powell,3,33,346,1
Clancy,3,32,223,1
Fran,3,30,260,1
Maddy,3,30,276,1
Dominic,3,29,212,1
John,3,29,417,1
Leah,3,28,233,1
Scott,3,28,242,1
Judge,3,27,429,2
Ali,3,26,243,2
Homeless Old Guy,3,26,185,1
Matty,3,26,182,1
Nurse,3,26,144,14
Amy,3,25,211,1
Dad,3,25,148,3
Addie,3,24,133,1
Jasper,3,23,116,1
Keo,3,23,136,1
Doctor,3,21,252,4
Mom,3,20,151,1
Surgeon,3,20,149,6
Bonnie,3,19,432,1
Claudia,3,19,130,1
Ezra,3,19,151,1
Kama,3,19,109,1
Kyle,3,19,262,1
Woman,3,19,165,3
Tracy,3,18,190,1
Franklin,3,17,183,1
Honey,3,16,93,1
Man,3,16,498,2
Wendy,3,16,157,2
Judy,3,15,107,1
Prosecutor,3,15,98,1
Alice,3,14,69,1
Janie,3,14,87,1
Joy,3,14,64,1
Lawyer,3,14,220,2
Nick,3,14,80,2
Abigail,3,13,88,1
Cynthia,3,13,103,1
Don,3,13,199,1
Marina,3,12,135,1
Sarah,3,12,52,1
Ben,3,11,46,2
Jodie,3,11,64,1
Caren,3,10,51,1
Lucy,3,10,41,1
Mrs Foreman,3,10,186,1
Tyson,3,10,66,1
Whitner,3,10,91,1
Will,3,10,56,1
Dr Simpson,3,9,100,1
Mark,3,9,56,1
Mother,3,9,61,1
Steve,3,9,67,2
Air Chase,3,8,21,1
Mr Foreman,3,8,70,1
Ralphie,3,8,73,1
Sophie,3,8,149,1
Air Cameron,3,7,30,1
Brock,3,7,84,1
Defence Lawyer,3,7,73,1
Fireman1,3,7,123,1
Fireman4,3,7,45,1
Little Girl,3,7,39,2
Richard,3,7,58,1
Doug,3,6,56,1
Girl,3,6,27,1
Paramedic,3,6,82,1
Sherlock Nose,3,6,70,1
Beth,3,5,56,1
Brenda,3,5,53,3
Cop,3,5,44,1
Dr Medick,3,5,34,1
Dr Stone,3,5,55,1
Hiccup Guy,3,5,29,1
Mrs Schaeffer,3,5,17,1
Tough Guy1,3,5,30,1
Tough Guy2,3,5,29,1
Daughter,3,4,29,1
Proctor,3,4,17,1
Rescuer3,3,4,45,1
Salesman,3,4,22,1
Air Foreman,3,3,13,1
Fisher,3,3,26,1
Marine 1,3,3,38,1
Marko,3,3,25,2
Paramedic 1,3,3,21,1
Pharmacist,3,3,14,2
Pilot,3,3,32,1
Runny-nose Guy,3,3,30,1
Security Guard,3,3,7,1
Teacher,3,3,15,1
Therapist,3,3,56,1
Voldemort,3,3,13,1
Waiter,3,3,6,1
Bashful Old Lady,3,2,6,1
Clueless Wife,3,2,7,1
Cue Music,3,2,14,2
Ear Guy,3,2,5,1
Female Donor,3,2,10,1
Fifty-buck Dad,3,2,14,1
Fireman5,3,2,13,1
Guy,3,2,11,1
Jeremy's Dad,3,2,10,1
Mrs Zebalusky,3,2,7,1
Operator,3,2,7,1
Prosecuter,3,2,22,1
Pulse Dude,3,2,5,1
Rescuer2,3,2,13,1
Stomach Lady,3,2,10,1
Student3,3,2,12,1
Tongue Guy,3,2,8,1
Alien,3,1,6,1
Anethesiologist,3,1,3,1
Bev,3,1,7,1
Boy,3,1,3,1
Either,3,1,7,1
Elderly Guy,3,1,5,1
Female Proctor,3,1,7,1
Female Surgeon,3,1,1,1
Fifty-buck Son,3,1,1,1
Fireman2,3,1,3,1
Fireman3,3,1,13,1
Fireman6,3,1,7,1
Foremman,3,1,17,1
Frightened Passenger 1,3,1,3,1
Frightened Passenger 2,3,1,1,1
Hurse,3,1,9,1
Lady,3,1,6,1
Naomi,3,1,1,1
Noisy Girl,3,1,12,1
Officer,3,1,5,1
Old Guy,3,1,5,1
Patient 1,3,1,39,1
Patient 2,3,1,29,1
Peng,3,1,2,1
Phone,3,1,16,1
Prosecution,3,1,10,1
Ralphie & Jack,3,1,4,1
Random Firefighter,3,1,12,1
Rescuer1,3,1,4,1
Student1,3,1,2,1
Student2,3,1,2,1
Toughguy1,3,1,1,1
