speaker,line_count,word_count,episode_count,season_count
Dr Simpson,24,228,5,4
Freedom Master,24,222,2,1
Dara,24,188,1,1
Addie,24,133,1,1
Thomas,23,474,1,1
Cheng,23,356,1,1
Charlotte,23,217,1,1
Tom,23,217,1,1
Cop,23,207,5,5
Della,23,202,1,1
Franni,23,187,1,1
Keo,23,136,1,1
Jasper,23,116,1,1
Treiber,22,296,1,1
Jay,22,293,2,1
Wibberly,22,290,1,1
Eva,22,235,1,1
Richardson,22,212,1,1
Ellie,22,200,1,1
Shannon,22,173,1,1
Brenda,22,166,7,3
Neil,21,280,1,1
Janey,21,265,1,1
Anita,21,247,2,1
Faye,21,230,1,1
Keen,21,225,1,1
Elena,21,210,1,1
Marlene,21,199,1,1
Lucille,21,192,1,1
Bartender,21,191,6,3
Victoria,21,179,1,1
Ashley,21,164,1,1
Coach,21,160,3,3
Regina,21,148,3,2
Claudia,21,135,2,2
Girl,21,100,6,4
Cindy,20,274,4,2
Callie,20,271,1,1
Sophie,20,225,2,2
Casey Alfonso,20,196,1,1
Sykes,20,192,1,1
Wendy,20,170,3,2
Mystery Woman,20,131,1,1
Lulu,20,121,1,1
Ian,20,106,3,3
Seth,20,98,2,2
Bonnie,19,432,1,1
Taylor,19,394,1,1
Kyle,19,262,1,1
Miles,19,207,1,1
Phoebe,19,176,1,1
Walter,19,173,1,1
Taddy,19,172,1,1
Bowman,19,169,1,1
Emory,19,168,1,1
Ezra,19,151,1,1
Joey,19,150,1,1
Roger,19,123,2,2
Lou Alfonso,19,116,1,1
Kama,19,109,1,1
Samantha,19,104,1,1
Stella,19,100,1,1
Eli,18,338,1,1
Eugene,18,299,1,1
Anderson,18,230,1,1
Mendelson,18,208,1,1
Tracy,18,190,1,1
Hourani,18,148,3,3
Mrs Campbell,18,107,1,1
Mr Lambert,18,99,1,1
Jane Doe,17,281,2,2
Annette,17,222,1,1
Ramona,17,189,1,1
Franklin,17,183,1,1
Costello,17,154,1,1
Guy,17,129,6,6
Pam,17,104,1,1
Lewis,17,87,1,1
Warner,16,224,1,1
Marie,16,195,1,1
Phil,16,166,2,2
Jody,16,150,1,1
Myron,16,133,1,1
Zach,16,126,1,1
Whitney,16,123,1,1
Cecelia,16,109,1,1
Niles,16,95,1,1
Honey,16,93,1,1
Artie,16,89,1,1
Megan Bradberry,16,88,1,1
Donovan,15,219,1,1
Clinic Patient,15,206,1,1
Janice,15,197,3,1
Brock,15,167,2,2
Corwin,15,161,1,1
Ruby,15,156,3,2
Westbrook,15,153,1,1
Glenda,15,150,1,1
Vanessa,15,140,1,1
Theresa,15,129,1,1
Monroe,15,126,1,1
Judy,15,107,1,1
Prosecutor,15,98,1,1
Olivia,14,227,1,1
Weinmann,14,223,1,1
Paramedic,14,202,7,4
Denise,14,185,1,1
Deedee,14,134,1,1
Landon,14,123,1,1
Connie Walesa,14,119,1,1
Agent Smith,14,107,1,1
Michael,14,95,3,3
Officer,14,89,3,3
Janie,14,87,1,1
Andres,14,76,1,1
Joy,14,64,1,1
Don,13,199,1,1
Jennifer,13,180,1,1
Cheryl,13,163,1,1
Mr Hernandez,13,142,1,1
Mike,13,122,2,2
Social Worker,13,110,2,2
Russ,13,105,1,1
Cynthia,13,103,1,1
Salesman,13,98,3,3
Stripper,13,94,2,2
Abigail,13,88,1,1
Julie,13,84,1,1
Emt,13,75,4,4
Penelope,13,51,1,1
Damien,13,50,1,1
Murphy,12,154,2,2
Marina,12,135,1,1
Felipe,12,116,1,1
Brian,12,104,1,1
Pharmacist,12,99,5,3
Everhardt,12,96,1,1
Irv,12,79,1,1
Michelle,12,72,1,1
Young Doctor,12,69,1,1
Adam,12,61,2,2
Dancer,12,55,1,1
Annie,11,177,2,2
Friend,11,153,2,2
Jim,11,150,1,1
Kaufman,11,147,1,1
Geerte,11,92,1,1
Susan,11,91,3,2
Mrs Lambert,11,79,1,1
Richter,11,75,2,1
Guard,11,73,5,4
Frank's Wife,11,70,1,1
Rex,11,70,1,1
Stan,11,67,1,1
Jodie,11,64,1,1
Lue,11,50,1,1
Waitress,11,41,3,2
Mrs Foreman,10,186,1,1
Patty,10,179,1,1
Schaffer,10,164,1,1
Grace,10,156,2,2
Beringer,10,151,1,1
Hugo,10,146,1,1
Fang Dong Wen,10,107,1,1
Smits,10,101,1,1
Matt,10,100,2,2
Oscar,10,99,1,1
Rick,10,94,2,2
Whitner,10,91,1,1
Harris,10,89,2,2
Medicaid Guy,10,89,1,1
Mr Damon,10,86,1,1
Alan,10,81,1,1
Farmer,10,76,1,1
Del,10,70,1,1
Anesthesiologist,10,69,4,3
Tyson,10,66,1,1
Leona,10,62,1,1
Manny,10,56,1,1
Caren,10,51,1,1
Gail,9,216,1,1
Jamie,9,215,1,1
Christina,9,129,1,1
Conway,9,127,1,1
Terzi,9,113,1,1
Ayersman,9,109,1,1
Mr Mckenna,9,103,1,1
Attending Doctor,9,102,1,1
Anna,9,91,2,2
Student 1,9,85,1,1
Volakis,9,85,1,1
Charlie,9,76,2,2
Dr Pilcher,9,74,1,1
Steve,9,67,2,1
Stomper,9,66,1,1
Heather,9,64,1,1
Daisy,9,59,1,1
O'shea,9,54,1,1
Shop Clerk,9,50,1,1
Xang,8,204,1,1
Stuart,8,160,1,1
Warden,8,151,1,1
Er Doc,8,146,1,1
Malkin,8,120,1,1
Chef Anthony,8,116,1,1
Dr Brady,8,116,1,1
Sandy,8,109,2,1
Brandy,8,89,1,1
Priest,8,85,1,1
Mrs Soellner,8,80,1,1
