speaker,line_count,word_count,episode_count,season_count
Neuro 2,1,4,1,1
Ralphie & Jack,1,4,1,1
Real Teacher,1,4,1,1
Rescue Worker 2,1,4,1,1
Rescuer1,1,4,1,1
Ronnnie,1,4,1,1
Scale,1,4,1,1
Some Classmate,1,4,1,1
Someone,1,4,1,1
Taub & Adams,1,4,1,1
Tech,1,4,1,1
Teller,1,4,1,1
Trieber,1,4,1,1
Voice On The Phone,1,4,1,1
Anesthesiologist 2,1,3,1,1
Anethesiologist,1,3,1,1
Another Coach,1,3,1,1
Crowd,1,3,1,1
Debbie,1,3,1,1
Fans,1,3,1,1
Fireman2,1,3,1,1
Foreman Interrupting,1,3,1,1
Frightened Passenger 1,1,3,1,1
Hostetter,1,3,1,1
House & Natalie,1,3,1,1
Kelly To Billy,1,3,1,1
Model,1,3,1,1
Mr Klingman,1,3,1,1
Nika,1,3,1,1
Referee,1,3,1,1
Taub & Chase,1,3,1,1
Taub Gets Up Obediently,1,3,1,1
Voice On Walkie Talkie,1,3,1,1
Voice Replies,1,3,1,1
Volleyball Player's Mother,1,3,1,1
Cabbie,1,2,1,1
Caufield,1,2,1,1
Chase & Thirteen,1,2,1,1
Cranio Surgeon,1,2,1,1
Emt 2,1,2,1,1
Friends,1,2,1,1
Hoffner,1,2,1,1
Jewish Guest,1,2,1,1
Jonah,1,2,1,1
Lena,1,2,1,1
Male Staff Member,1,2,1,1
Man Holding Receiver,1,2,1,1
Nurses,1,2,1,1
Old Gentleman,1,2,1,1
Other Visitors,1,2,1,1
Peng,1,2,1,1
Short Girl,1,2,1,1
Stranger At The Door,1,2,1,1
Student1,1,2,1,1
Student2,1,2,1,1
Taub & Park,1,2,1,1
Topless Actress,1,2,1,1
Workman On The Floor,1,2,1,1
A Voice,1,1,1,1
All But Foreman,1,1,1,1
Anke,1,1,1,1
Both Kids,1,1,1,1
Chase & Taub,1,1,1,1
David,1,1,1,1
Dixon,1,1,1,1
Dr Hourani,1,1,1,1
Drycleaner,1,1,1,1
Female Surgeon,1,1,1,1
Fifty-buck Son,1,1,1,1
Foreman's Voice,1,1,1,1
Frightened Passenger 2,1,1,1,1
House & Lucas,1,1,1,1
House & Wilson,1,1,1,1
Liz Masters,1,1,1,1
Melanie & Joseph,1,1,1,1
Offstage Male,1,1,1,1
Patients,1,1,1,1
Sir Horace,1,1,1,1
Spartans Fan,1,1,1,1
Tax Accountant,1,1,1,1
Taxi Driver,1,1,1,1
Thirteenforeman,1,1,1,1
Toughguy1,1,1,1,1
Young Woman,1,1,1,1
